,Percentage Missing A,Percentage Missing B,Percentage Missing C,Percentage Missing D,Percentage Missing E,Percentage Missing F
answer,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.6799999999999999,0.33999999999999997
clearData,0.35000000000000003,0.0,0.0,0.0,0.33999999999999997,0.6799999999999999
clearRepresent,0.35000000000000003,0.0,0.35000000000000003,0.0,0.0,0.0
complex,0.0,0.35000000000000003,0.0,0.97,1.02,0.0
confid,0.0,0.0,0.0,0.32,0.6799999999999999,0.33999999999999997
confus,0.0,0.0,0.35000000000000003,0.32,0.0,0.6799999999999999
crowd,0.0,0.0,0.0,0.65,0.0,0.0
deciph,0.0,0.35000000000000003,0.0,0.65,0.0,0.33999999999999997
distinguish,1.04,0.0,0.7000000000000001,0.65,0.33999999999999997,1.02
distract,0.0,1.04,0.7000000000000001,0.0,0.33999999999999997,0.0
effect,0.35000000000000003,0.0,0.0,0.32,1.02,0.0
find,0.69,0.0,0.0,0.0,0.0,0.33999999999999997
identifi,0.35000000000000003,0.0,0.0,0.65,0.0,0.0
inform,0.0,0.0,0.35000000000000003,0.0,0.33999999999999997,0.0
lost,0.0,0.35000000000000003,0.0,0.0,0.33999999999999997,0.33999999999999997
meanElem,0.0,0.0,0.0,0.65,0.33999999999999997,0.0
meanOveral,0.0,0.0,0.0,0.65,0.33999999999999997,0.33999999999999997
messi,0.0,0.35000000000000003,0.0,0.0,0.0,0.6799999999999999
obvious,0.0,0.0,0.35000000000000003,0.0,2.0500000000000003,0.0
organiz,0.35000000000000003,0.0,0.0,0.32,0.6799999999999999,0.6799999999999999
read,0.35000000000000003,0.0,0.35000000000000003,1.29,0.6799999999999999,0.33999999999999997
readabl,0.35000000000000003,0.35000000000000003,0.0,0.65,0.6799999999999999,0.0
represent,0.0,0.0,0.35000000000000003,0.65,0.6799999999999999,0.33999999999999997
see,0.69,0.69,0.35000000000000003,0.32,3.4099999999999997,0.33999999999999997
simpl,0.35000000000000003,0.0,0.0,0.65,0.6799999999999999,0.6799999999999999
understandEasi,0.0,0.0,0.0,0.65,0.33999999999999997,0.0
understandQuick,0.0,0.0,0.35000000000000003,0.97,0.33999999999999997,0.33999999999999997
valu,0.69,0.0,1.39,0.97,3.4099999999999997,0.0
visibl,1.04,0.35000000000000003,0.35000000000000003,0.65,5.46,0.33999999999999997
OVERALL,0.25,0.14,0.22,0.45,0.84,0.28
