"","Full model"
"npar",360
"fmin",0.512526616989866
"chisq",1802.04358533637
"df",774
"pvalue",0
"baseline.chisq",21465.0165183811
"baseline.df",918
"baseline.pvalue",0
"cfi",0.949966284184534
"tli",0.940657685893284
"cfi.robust",0.949770790800166
"tli.robust",0.940425821646709
"nnfi",0.940657685893284
"rfi",0.900428331543122
"nfi",0.91604741679126
"pnfi",0.772353704353415
"ifi",0.950314495934837
"rni",0.949966284184534
"nnfi.robust",0.940425821646709
"rni.robust",0.949770790800166
"logl",-42200.4553021253
"unrestricted.logl",-41299.4335094571
"aic",85120.9106042505
"bic",87090.8061524188
"ntotal",1758
"bic2",85947.1160970169
"rmsea",0.0673288928866473
"rmsea.ci.lower",0.0632807130781242
"rmsea.ci.upper",0.0713859907785915
"rmsea.ci.level",0.9
"rmsea.pvalue",4.28856949952205e-12
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",8.88585831338472e-08
"rmsea.notclose.h0",0.08
"rmsea.robust",0.0675996106345116
"rmsea.ci.lower.robust",0.0635272235977244
"rmsea.ci.upper.robust",0.0716807970194979
"rmsea.pvalue.robust",2.78299605582788e-12
"rmsea.notclose.pvalue.robust",1.91362493094352e-07
"rmr",0.0852623222610923
"rmr_nomean",0.0896350463867909
"srmr",0.0455831486958725
"srmr_bentler",0.0455831486958725
"srmr_bentler_nomean",0.0479201858466501
"crmr",0.0479102768160981
"crmr_nomean",0.0506480023711436
"srmr_mplus",0.0455738201985525
"srmr_mplus_nomean",0.0479097460909139
"cn_05",820.306799487126
"cn_01",848.233507603659
"gfi",0.950655302787523
"agfi",0.927704280828231
"pgfi",0.648859968569262
"mfi",0.746477279710784
"ecvi",1.43460954797291
