item,Cross-loadings in Agg,factor rank in PA1 Agg,PA1 Agg,factor rank in PA2 Agg,PA2 Agg,factor rank in PA3 Agg,PA3 Agg,Order in Agg
obvious,0,1.0,1.04360443674763,,,,,1.0
confid,0,2.0,0.95573449010449,,,,,2.0
meanOveral,0,3.0,0.928812302082836,,,,,3.0
represent,0,4.0,0.91117647474987,,,,,4.0
understandEasi,0,5.0,0.901084770770069,,,,,5.0
understandQuick,0,6.0,0.79636709097867,,,,,6.0
answer,0,7.0,0.669411126677312,,,,,7.0
meanElem,0,8.0,0.65475819921104,,,,,8.0
lost,1,9.0,0.54775495434842,,0.420676261215288,,,9.0
confus,1,10.0,0.532648108215422,,0.479795846288558,,,10.0
deciph,1,11.0,0.526454505869319,,0.459828943575505,,,11.0
complex,1,12.0,0.507057237997423,,0.447805003206332,,,12.0
clearRepresent,1,13.0,0.458377306824859,,0.385272631894566,,,13.0
identifi,0,14.0,0.45571313751139,,,,,14.0
read,1,15.0,0.441357968290335,,0.427881491719485,,,15.0
effect,0,16.0,0.430837004115859,,,,,16.0
simpl,1,,0.418332260017338,7.0,0.518317076796366,,,24.0
inform,1,17.0,0.393953131058937,,0.343995845641698,,,17.0
readabl,1,,0.340304671042381,9.0,0.412462025190546,,,26.0
crowd,0,,,1.0,1.06487321074455,,,18.0
messi,0,,,2.0,1.02647457158337,,,19.0
distract,0,,,3.0,0.87659105588876,,,20.0
organiz,0,,,4.0,0.682335032759254,,,21.0
distinguish,0,,,5.0,0.655541317452771,,,22.0
clearData,0,,,6.0,0.519920464310412,,,23.0
find,1,,,8.0,0.45364846456376,,0.340449844169287,25.0
visibl,0,,,,,1.0,0.928008213510113,27.0
see,0,,,,,2.0,0.903054806115246,28.0
valu,0,,,,,3.0,0.502870971704791,29.0
