"terms","ML1","ML4","ML2","ML5","ML3"
"answer",0.553202242923963,0.435111408080776,-0.00596124841989357,-0.0838217224204613,-0.0317956956716012
"clearData",0.131351867012677,0.339572118123582,0.217748061981302,0.279724266203982,0.0501189178137478
"clearRepresent",0.274853555776441,0.296410908844504,0.161762181780125,0.23883396862783,0.0316359611805336
"complex",0.247738396321422,-0.0376669803116363,0.173616833585194,0.538682827306333,0.0279422999650171
"confid",0.890535192146332,0.0992063574876631,-0.00350090442648085,-0.112437657754955,-0.0479918515518632
"confus",0.349504444891448,0.0295601841546719,0.264845137874204,0.355990891079961,-0.0126123716407378
"crowd",-0.0313708842056755,-0.060812684501865,0.93969814055287,-0.0456616257695589,-0.0109564302904182
"deciph",0.278091579037993,0.146682020410183,0.173024569170417,0.410983055800861,-0.0524202529035067
"distinguish",-0.13819589787966,0.699715818898332,0.334262947527228,-0.0937146945254905,-0.00155171897447402
"distract",0.0432789812219821,0.195353001651758,0.669268565151938,-0.0355096210964759,-0.0370572936607811
"effect",0.295874275378436,0.386513456835981,0.106846679578273,0.112100076617386,0.0605987855621759
"find",-0.00948147695456761,0.765375010674525,0.126888268032322,0.00259343900604314,0.0119247410859999
"identifi",0.283218163605777,0.612888189057437,0.0321486492378993,0.0501707895401511,-0.0269424383158153
"inform",0.189282155989157,0.609632889101871,0.0469806965707769,0.131451472317866,-0.015826230057395
"lost",0.392133755396499,0.0421267966876566,0.250407765697601,0.286658414560409,0.00461216137176691
"meanElem",0.571861206438947,0.264805751703775,0.0406799230649287,-0.0451156059828677,0.0349973671122342
"meanOveral",0.911140110833836,-0.0115900195013673,0.0362219970961771,-0.152206954717315,-0.00191853687192835
"messi",0.0170367077447373,-0.0557237756808533,0.855590082565513,0.0913156179054914,0.0367552780922311
"obvious",0.912663499669983,-0.2092633529798,-0.0232434226247825,0.137042016447611,0.0537767736829484
"organiz",0.156121359053375,0.110787740203373,0.580088863316929,0.0104340100176071,0.0962335728587968
"read",0.134716431665121,0.44396380772344,0.0325174971070578,0.409760106149884,-0.0433984043487181
"readabl",0.14050492023066,0.496706652387868,0.106098623900618,0.206007882340085,0.0035395802483362
"represent",0.836386968174896,-0.00177248035453329,0.0596749772450481,-0.0068229433339152,0.0384284103749841
"see",0.00465220257070568,0.0553114557357744,0.00799703275394856,0.0649105348835066,0.796541980698164
"simpl",0.112495738609578,0.15901783832902,0.139200121008552,0.570438942417736,0.031204773848155
"understandEasi",0.657597943599986,0.0683419786525495,-0.0304612004336855,0.276722537002262,-0.0101960993119942
"understandQuick",0.532244684190453,-0.0248046430643653,-0.00673145935865727,0.415759411889285,0.0454722191498284
"valu",0.112674105773159,0.571721624067008,-0.0964214398520486,-0.0689553029791692,0.189415877610527
"visibl",0.0387370810365003,0.0328734725202039,0.033300304294804,-0.0417240139327135,0.839773494256519
