item,presence count PA1,presence count PA2,Cross-loadings in A,Cross-loadings in B,Cross-loadings in C,Cross-loadings in D,Cross-loadings in E,Cross-loadings in F,Order in A,Order in B,Order in C,Order in D,Order in E,Order in F,PA1 A,PA1 B,PA1 C,PA1 D,PA1 E,PA1 F,PA2 A,PA2 B,PA2 C,PA2 D,PA2 E,PA2 F,average rank in PA1,average rank in PA2,factor rank in PA1 A,factor rank in PA1 B,factor rank in PA1 C,factor rank in PA1 D,factor rank in PA1 E,factor rank in PA1 F,factor rank in PA2 A,factor rank in PA2 B,factor rank in PA2 C,factor rank in PA2 D,factor rank in PA2 E,factor rank in PA2 F
understandEasi,3,3,0,0,0,0,0,0,1,24,1,25,1,26,0.89305349565193,,0.919301788999881,,0.974276127568465,,,0.683393157331397,,0.765161290845201,,0.638023892899838,,,1.0,,1.0,,1.0,,,6.0,,4.0,,6.0
read,6,0,0,1,0,0,0,0,2,12,3,7,14,7,0.840185585729096,0.524463995206909,0.884556669956073,0.676556186131362,0.736985159049581,0.733623145894266,,0.341859134230792,,,,,7.5,,2.0,12.0,3.0,7.0,14.0,7.0,,,,,,
simpl,6,0,0,0,0,0,0,0,3,6,2,4,16,5,0.82689188960541,0.629438308929576,0.903690795008093,0.722050401181945,0.705303655468278,0.802626908915636,,,,,,,6.0,,3.0,6.0,2.0,4.0,16.0,5.0,,,,,,
represent,3,3,0,0,0,0,0,0,4,20,6,26,4,24,0.817793634921166,,0.803562237760827,,0.85431277819699,,,0.803132748581872,,0.72477553431299,,0.794660256003663,,,4.0,,6.0,,4.0,,,2.0,,5.0,,4.0
understandQuick,3,3,0,1,0,0,0,0,5,28,7,27,3,28,0.794271605673607,0.382956650606341,0.782206657346256,,0.930481919461752,,,0.42958476691965,,0.657938827015845,,0.529691843281834,,,5.0,,7.0,,3.0,,,10.0,,6.0,,8.0
meanOveral,3,3,0,0,0,0,0,0,6,23,10,22,13,23,0.78424797796923,,0.722232447864442,,0.749985649231126,,,0.696213170512145,,0.904362934779189,,0.857310092022437,,,6.0,,10.0,,13.0,,,5.0,,1.0,,3.0
obvious,3,3,0,0,0,0,0,0,7,19,5,24,2,21,0.774569871211765,,0.819801189268924,,0.941495286202158,,,0.840402366247411,,0.792126365158179,,0.900046812284349,,,7.0,,5.0,,2.0,,,1.0,,3.0,,1.0
readabl,6,0,0,0,0,0,0,0,8,8,13,14,17,10,0.767724423929615,0.607744434836466,0.694756199479909,0.605708439290042,0.68005966754474,0.66968010685121,,,,,,,11.666666666666666,,8.0,8.0,13.0,14.0,17.0,10.0,,,,,,
meanElem,3,3,0,0,0,0,0,0,9,27,8,28,18,25,0.764164260978626,,0.739592999261019,,0.67150926784534,,,0.448299555081657,,0.618447949777009,,0.727391013889866,,,9.0,,8.0,,18.0,,,9.0,,7.0,,5.0
identifi,6,0,0,1,0,1,0,0,10,16,17,17,7,16,0.762172539057497,0.449311321693207,0.638252522272757,0.476096227924263,0.837610125500759,0.608779748103366,,0.327251419718025,,0.371903634569278,,,13.833333333333334,,10.0,16.0,17.0,17.0,7.0,16.0,,,,,,
confid,3,3,0,0,0,0,0,0,11,21,11,23,5,22,0.758436393888317,,0.721170355254184,,0.852641129406101,,,0.791528654250249,,0.876450176689135,,0.861484289167195,,,11.0,,11.0,,5.0,,,3.0,,2.0,,2.0
complex,6,0,0,1,0,0,0,0,12,17,9,15,19,15,0.752715051390464,0.431095846441302,0.72314344629187,0.55821034081249,0.664806112508562,0.625141989340224,,0.362361614556789,,,,,14.5,,12.0,17.0,9.0,15.0,19.0,15.0,,,,,,
crowd,5,1,0,0,0,0,0,0,13,2,24,13,27,2,0.692788157248802,0.860777767006327,0.438991458140919,0.609769317210572,,0.953271157202999,,,,,0.720356550720689,,,,13.0,2.0,24.0,13.0,,2.0,,,,,3.0,
deciph,6,0,0,0,0,0,0,0,14,18,12,6,6,11,0.675758612269818,0.426225524168946,0.70713834021394,0.70220560745051,0.838005194854475,0.658979468050136,,,,,,,11.166666666666666,,14.0,18.0,12.0,6.0,6.0,11.0,,,,,,
lost,6,0,0,0,0,0,0,0,15,14,14,16,8,18,0.670221828944456,0.481768738432606,0.678359660726455,0.513951117469528,0.818205746760592,0.588161951673374,,,,,,,14.166666666666666,,15.0,14.0,14.0,16.0,8.0,18.0,,,,,,
distract,5,1,0,0,0,0,0,0,16,3,23,8,28,20,0.65131362078888,0.860584127493545,0.527892793371603,0.674313018527788,,0.542917741975513,,,,,0.665859709469755,,,,16.0,3.0,23.0,8.0,,20.0,,,,,4.0,
clearData,6,0,0,0,0,0,0,0,17,5,16,1,20,3,0.650674172670353,0.69641071939168,0.645946073877686,0.901658858772511,0.645317011322217,0.808399346260507,,,,,,,10.333333333333334,,17.0,5.0,16.0,1.0,20.0,3.0,,,,,,
answer,3,3,0,0,0,0,0,0,18,22,18,29,15,27,0.646757437545689,,0.597693264269682,,0.715437110794254,,,0.769780667868507,,0.518808307490212,,0.603201015652226,,,18.0,,18.0,,15.0,,,4.0,,8.0,,7.0
confus,6,0,0,0,0,0,0,0,19,15,4,12,10,12,0.636583278372524,0.458295803741924,0.849194008725701,0.617083997193016,0.77286863235799,0.641821386493714,,,,,,,12.0,,19.0,15.0,4.0,12.0,10.0,12.0,,,,,,
clearRepresent,6,0,0,0,0,0,0,0,20,11,15,5,12,9,0.63010997646659,0.550815167015368,0.652801922601549,0.706202451017003,0.752181098471145,0.677216827726322,,,,,,,12.0,,20.0,11.0,15.0,5.0,12.0,9.0,,,,,,
effect,5,1,0,1,0,0,0,0,21,26,22,10,11,17,0.541724587593056,0.321796903643413,0.538740214526501,0.650397100058119,0.770510519592542,0.603698764291916,,0.455454704861825,,,,,,,21.0,,22.0,10.0,11.0,17.0,,8.0,,,,
inform,5,1,0,0,0,0,0,0,22,25,21,11,9,8,0.537937876460287,,0.556474157463894,0.627839996534896,0.785081537356289,0.692907310541136,,0.465071873825661,,,,,,,22.0,,21.0,11.0,9.0,8.0,,7.0,,,,
messi,5,1,0,0,0,0,0,0,23,1,20,2,25,1,0.524533038811766,0.873916923982769,0.569260432091069,0.867897461526303,,1.0076140812044,,,,,0.872082101280273,,,,23.0,1.0,20.0,2.0,,1.0,,,,,1.0,
organiz,5,1,1,0,0,0,0,0,24,7,19,3,26,4,0.355372953140465,0.610116565232588,0.571308021695065,0.789403277874789,,0.805956195845767,0.348772836399239,,,,0.785751065696329,,,,24.0,7.0,19.0,3.0,,4.0,,,,,2.0,
find,4,2,1,0,0,0,1,0,28,13,29,9,22,13,0.340464619766551,0.521864238202327,,0.657879855910352,0.452411064276329,0.636655751908794,0.40031084005321,,0.481071744714813,,0.324440638808652,,,,,13.0,,9.0,22.0,13.0,4.0,,4.0,,,
visibl,4,2,0,0,0,1,0,0,25,10,26,20,23,19,,0.579438621363741,,0.355375077191996,0.344118149664194,0.565120301984032,0.989153729956859,,1.01204460375551,0.34350806673401,,,,,,10.0,,20.0,23.0,19.0,1.0,,1.0,,,
see,4,2,0,0,0,0,0,0,26,9,27,21,24,14,,0.606229199034965,,0.342501460343671,0.334967147693287,0.628341735682934,0.979562953451021,,0.910184079996363,,,,,,,9.0,,21.0,24.0,14.0,2.0,,2.0,,,
valu,2,3,0,Never above threshold,0,0,0,0,27,Missing,28,18,21,29,,,,0.475169036441714,0.524322775114431,,0.425784983288464,,0.556743781433839,,,0.40336129196067,,,,,,18.0,21.0,,3.0,,3.0,,,9.0
distinguish,4,1,0,0,0,0,Never above threshold,0,29,4,25,19,Missing,6,,0.709651715288941,0.359700896908082,0.425285414643178,,0.794495223901444,0.346301550531723,,,,,,,,,4.0,25.0,19.0,,6.0,5.0,,,,,
