"terms","PA1"
"answer",0.712859363356822
"clearData",0.807661429413798
"clearRepresent",0.786726242981688
"complex",0.65044157427023
"confid",0.742141818702217
"confus",0.747557866490494
"crowd",0.567272745198478
"deciph",0.721970817267147
"distinguish",0.592198343048285
"distract",0.631608758491041
"effect",0.763479322682347
"find",0.656057444907246
"identifi",0.755786676021837
"inform",0.763155311274901
"lost",0.723743326674871
"meanElem",0.673114741838021
"meanOveral",0.698312702165112
"messi",0.70624344535777
"obvious",0.624845194281245
"organiz",0.765955078898309
"read",0.827507990604028
"readabl",0.760002526891347
"represent",0.807012923670989
"see",0.55963209850335
"simpl",0.853365997985813
"understandEasi",0.806980168740987
"understandQuick",0.805291240828487
"valu",0.561438355532161
"visibl",0.476374171272197
