"terms","PA1","PA2","PA3"
"answer",0.425411191554795,0.384213265435375,-0.0494270524462066
"clearData",0.718296858302181,-0.136327664126832,0.311193772283805
"clearRepresent",0.532482847595219,0.0903468358400367,0.283009848293311
"complex",0.228168597523098,0.269166507034165,0.383633828622527
"confid",0.0669599721953479,0.78221890767523,-0.149962264617111
"confus",0.319698199465032,0.191075476703935,0.364260996831358
"crowd",-0.31690133366475,0.0371386785032217,0.885912871944013
"deciph",0.454907027670908,0.107803308687895,0.336363304373668
"distinguish",0.729044792251983,0.0676730734940597,-0.128159744353612
"distract",0.290353567584835,-0.0205288354023972,0.428507564482931
"effect",0.60525313977729,0.0434155572717219,0.173159766545709
"find",0.900923140601909,-0.0667648120425114,-0.0376240293100749
"identifi",0.699111070924777,0.183947513051182,-0.0479403032950447
"inform",0.782204629167948,0.0418249279908939,0.0259438446364654
"lost",0.328001163527557,0.255108856277414,0.26709354575895
"meanElem",0.294272071763731,0.50464349924305,-0.0616084856612204
"meanOveral",-0.227364869815015,0.933623817389295,-0.00637710749832092
"messi",0.037434887627327,-0.138302444150488,0.847161011944024
"obvious",-0.13402414411696,0.82368099288239,0.110657387055273
"organiz",0.285267098677057,-0.00604613657415489,0.548405679036051
"read",0.886628950082928,0.0108366385677325,-0.00541976179139351
"readabl",0.763018534016963,0.0422908178439391,0.0163207677824205
"represent",0.0162452985340852,0.706537721263137,0.0972145970846768
"see",0.685676795641322,0.103762057788534,-0.167205804473387
"simpl",0.589185357730822,0.0606966922695972,0.25339427453217
"understandEasi",0.213341184778834,0.668856871241034,-0.0407406697791961
"understandQuick",0.232576356258348,0.58756236699899,0.064593641348203
"valu",0.652793726671208,-0.15680783882793,-0.0362203146869238
"visibl",0.615343655040793,0.159863400907922,-0.0968426409060349
